,observed_sp500_returns,forecast_randomwalk,forecast_engle_granger,lower_bound_engle_granger,upper_bound_engle_granger,forecast_rf,lower_bound_rf,upper_bound_rf,forecast_svr,lower_bound_svr,upper_bound_svr,forecast_ann,lower_bound_ann,upper_bound_ann,forecast_ensemble_learning_simple_mean,lower_bound_ensemble_learning_simple_mean,upper_bound_ensemble_learning_simple_mean,forecast_ensemble_learning_weighted_r2,lower_bound_ensemble_learning_weighted_r2,upper_bound_ensemble_learning_weighted_r2,forecast_ensemble_learning_weighted_rmse,lower_bound_ensemble_learning_weighted_rmse,upper_bound_ensemble_learning_weighted_rmse,forecast_ensemble_learning_weighted_test_rmse,lower_bound_ensemble_learning_weighted_test_rmse,upper_bound_ensemble_learning_weighted_test_rmse,rmse_training_rf,rmse_training_svr,rmse_training_ann,rmse_validation_rf,rmse_validation_svr,rmse_validation_ann,forecast_bic_monthly_best,lower_bound_bic_monthly_best,upper_bound_bic_monthly_best,forecast_aic_monthly_best,lower_bound_aic_monthly_best,upper_bound_aic_monthly_best,forecast_bic_monthly_weighted_average,lower_bound_bic_weighted_average,upper_bound_bic_weighted_average,forecast_aic_monthly_weighted_average,lower_bound_aic_monthly_weighted_average,upper_bound_aic_monthly_weighted_average,forecast_bic_monthly_weighted_average_converted,lower_bound_bic_weighted_average_converted,upper_bound_bic_weighted_average_converted,adf_output,rsquared_step2,coefficients_of_eps_t_1__step2
2001-02-28,-2.262550231574334,2.0275449133161154,1.3742411364298874,-6.143199010092207,8.891681282951982,0.9325191434736368,-6.454553856473405,8.319592143420678,1.0858288924181894,-6.551326417328895,8.722984202165275,1.2361191511154175,-6.2567570674581985,8.728995369689034,1.1571770808592827,-6.351459087838176,8.665813249556741,1.1830967887898143,-6.342648852414547,8.708842429994174,1.1566129738321789,-6.3509591463367645,8.664185094001121,1.1571770808592827,-6.351459087838176,8.665813249556741,3.1633341810810514,3.272277048381789,3.210194852932346,3.197415068654279,3.141663099369101,3.1804317147290737,0.9325191434736368,-6.454553856473405,8.319592143420678,0.9325191434736368,-6.454553856473405,8.319592143420678,1.0251145280354272,-6.394227541312173,8.444456597383027,1.0130574841066928,-6.402082760396796,8.428197728610181,1349.3921555816632,1249.2761357021166,1449.50817546121,0.02212639126550599,0.09064752737709614,-0.8449910644093886
2001-03-31,-9.631777130550478,-0.5878161263433526,0.7663421547956144,-6.752455835886461,8.28514014547769,0.7900395090775816,-6.597309090276337,8.177388108431499,0.9941528804909359,-6.642217502128834,8.630523263110707,0.5012312531471252,-6.99284955321945,7.995312059513701,0.7629414493778143,-6.74620799537777,8.272090894133399,0.767514180623425,-6.758645969582779,8.29367433082963,0.7619567682860369,-6.746137184462046,8.270050721034119,0.760574065184907,-6.7475198875631754,8.26866801793299,3.163461859642858,3.27204442028021,3.210711291181462,3.2036714778466995,3.14616263062666,3.1879617053725657,0.7900395090775816,-6.597309090276337,8.177388108431499,0.7900395090775816,-6.597309090276337,8.177388108431499,0.7026460566332661,-6.716999735984002,8.122291849250534,0.714275679328198,-6.701072260746887,8.129623619403283,1314.9571097006763,1217.3919498360483,1412.5222695653042,0.022022562202161835,0.0899850623160805,-0.8509929285550917
2001-04-30,0.33590272734391746,-7.946699453176973,-0.32208098165593724,-7.892734508080083,7.248572544768208,-0.46945586213586477,-7.910591727341821,6.971680003070091,1.1155049781582418,-6.570181540214975,8.801191496531459,-0.35038796067237854,-7.893339176856772,7.192563255512015,-0.0066049565764846885,-7.566711738123413,7.553501824970443,0.06736770512622509,-7.509108262891401,7.643843673143851,-0.01334986293335988,-7.572444221034479,7.545744495167758,-0.013360184394598212,-7.572454542495716,7.545734173706521,3.1865061911959773,3.293008650637657,3.231600576750846,3.2841466389660017,3.230684955878374,3.2703121834061895,-0.46945586213586477,-7.910591727341821,6.971680003070091,-0.46945586213586477,-7.910591727341821,6.971680003070091,-0.4325822982316486,-7.905248868225284,7.040084271761987,-0.43731696091076394,-7.905934905401526,7.031300983579998,1180.7313020890226,1092.4991887963656,1268.9634153816796,0.02035356978591139,0.08867277527180628,-0.8665450215573649
2001-05-31,6.54893523201272,2.0197415764958646,0.6581069684500993,-6.907030332771162,8.22324426967136,0.16306502585015523,-7.273194947456922,7.599324999157233,1.0818610359552996,-6.595672070269153,8.759394142179751,0.05579758062958717,-7.482157817111037,7.593752978370211,0.48970765272128536,-7.064513791902069,8.04392909734464,0.542037375757389,-7.028129767495899,8.112204519010676,0.4858088281098049,-7.067434167315342,8.039051823534951,0.4919364833866664,-7.06130651203848,8.045179478811813,3.1844272486225007,3.288721729937541,3.22940400793319,3.2761412499173606,3.2299799477919637,3.262388285786557,0.16306502585015523,-7.273194947456922,7.599324999157233,0.16306502585015523,-7.273194947456922,7.599324999157233,0.13015938459875614,-7.337296942331158,7.597615711528671,0.1345649687405196,-7.328714622663968,7.597844560145008,1191.389696740796,1102.4231914531342,1280.3562020284576,0.02474205858496981,0.08865043263567107,-0.8671864996245858
2001-06-30,-2.5237681097165066,8.235278730493206,2.108655762634827,-5.468519566620906,9.68583109189056,1.4042338055270205,-6.050485044495734,8.858952655549775,4.255627878389648,-3.4305677017011096,11.941823458480405,3.3419764041900635,-4.209953726187835,10.89390653456796,2.7776234626853897,-4.789881509751397,10.345128435122177,2.955657494979153,-4.627701347122901,10.539016337081208,2.766759644547294,-4.799841578134266,10.333360867228855,2.7480393468479574,-4.818561875833602,10.314640569529518,3.1923460794211334,3.2929641642584313,3.2352576909426025,3.314520830369054,3.234808295543074,3.277751740458715,1.4042338055270205,-6.050485044495734,8.858952655549775,1.4042338055270205,-6.050485044495734,8.858952655549775,2.006840859271027,-5.478109149052068,9.491790867594123,1.9262905985340968,-5.554618422103338,9.407199619171532,1296.1218391681034,1199.107767459413,1393.1359108767938,0.03254217702927555,0.08846037843542609,-0.8651979250973278
2001-07-31,-2.8047484314399185,-0.8375681007031333,1.156341808431443,-6.425952134662163,8.738635751525049,0.6273835329890917,-6.829443055515406,8.084210121493589,2.1332651085044603,-5.5652932041873955,9.831823421196315,1.2305294275283813,-6.330003603750535,8.791062458807298,1.2868799693633441,-6.2876729995288745,8.861432938255563,1.37497070416034,-6.215379395364752,8.965320803685433,1.2808111102361537,-6.292770615753163,8.85439283622547,1.2689940139639106,-6.3045877120254055,8.842575739953228,3.1932638736848777,3.2971738929260774,3.239189353988005,3.320361124025705,3.2725015869515843,3.301567686813906,0.6273835329890917,-6.829443055515406,8.084210121493589,0.6273835329890917,-6.829443055515406,8.084210121493589,0.8093371047521811,-6.678775044755868,8.297449254260231,0.783834658371287,-6.699892535489791,8.267561852232365,1248.7760187166457,1155.2662699389816,1342.2857674943098,0.031609659507107084,0.08706113846538799,-0.8798586528201392
2001-08-31,-2.1780587816719432,-1.118492704838027,0.7278153739498217,-6.856669394671018,8.312300142570662,0.31816216632136174,-7.136956431995272,7.773280764637996,0.14933716716287626,-7.5502183854625935,7.8488927197883465,0.23247522115707397,-7.330129809200263,7.795080251514411,0.35694748214778343,-7.218493505332286,7.9323884696278535,0.36769188947830295,-7.222686622712382,7.958070401668988,0.3576133034760241,-7.216842252021115,7.932068858973164,0.3609867276567637,-7.213468827840376,7.935442283153903,3.1925407808485287,3.296898339832084,3.240239937024195,3.320810631735437,3.2813125486485033,3.3105145628703876,0.31816216632136174,-7.136956431995272,7.773280764637996,0.31816216632136174,-7.136956431995272,7.773280764637996,0.2929790930525722,-7.193729366336736,7.779687552441882,0.2967192007219708,-7.185297635829568,7.77873603727351,1207.9839610419124,1117.5457236425214,1298.4221984413034,0.03516017619483961,0.08658190095433538,-0.8974403330513667
2001-09-30,-12.057011493786263,-0.49217728529234095,1.433067207494504,-6.149884369484623,9.01601878447363,0.7470897120002157,-6.7065303996393375,8.20070982363977,-0.047824315880556356,-7.741996806548277,7.646348174787164,1.8865857124328613,-5.673633468533759,9.44680489339948,1.004729579011756,-6.568011261051499,8.577470419075011,1.0221797505078174,-6.566002780587093,8.610362281602727,1.008132052023226,-6.563648994782078,8.579913098828529,0.9924573961718856,-6.579323650633418,8.564238442977189,3.191909439170787,3.2951334622917745,3.2392712611128656,3.2764492658451543,3.247923100988136,3.273573437766999,0.7470897120002157,-6.7065303996393375,8.20070982363977,0.7470897120002157,-6.7065303996393375,8.20070982363977,1.081581470996054,-6.4033301152893,8.566493057281408,1.0313303854242024,-6.448880246270174,8.511541017118578,1191.3156183799342,1102.1466976305876,1280.4845391292808,0.035617984312368664,0.08653399225416136,-0.9125864556252582
2001-10-31,3.012631014455902,-10.35504997837698,-1.3303427467005515,-8.99874623846965,6.338060745068548,-3.562847452678262,-11.089234655569161,3.9635397502126373,0.7389777824264752,-7.066904258266147,8.544859823119097,-1.8044906854629517,-9.452056061107392,5.843074690181489,-1.4896757756038226,-9.151735303353087,6.172383752145443,-1.4320235922071276,-9.097925724327787,6.2338785399135315,-1.5092183931456233,-9.170009668968575,6.151572882677329,-1.4715940943372119,-9.132385370160165,6.18919718148574,3.223089753722084,3.34192302164738,3.2766075622867326,3.4001902227564567,3.4004756002502776,3.4171687818995444,-3.562847452678262,-11.089234655569161,3.9635397502126373,-3.562847452678262,-11.089234655569161,3.9635397502126373,-3.051326185124895,-10.612965171773453,4.510312801523664,-3.120936828617209,-10.677778557542037,4.43590490030762,1013.2460281474835,936.6280214524153,1089.8640348425515,0.030100437786071726,0.08339395817806816,-0.9821272168865913
2001-11-30,4.813576817811427,4.713940315140407,1.419681282900271,-6.252002467886453,9.091365033686994,0.6489315266595682,-6.887519227748912,8.18538228106805,1.1762546050017333,-6.626497930333679,8.979007140337146,1.8912997245788574,-5.760425889893834,9.54302533905155,1.2840417847851073,-6.3816113789657205,8.949694948535935,1.373375883133353,-6.2958105324164695,9.042562298683174,1.2820171319201812,-6.382485727654413,8.946519991494775,1.2795145772123875,-6.384988282362206,8.944017436786982,3.2274021144842053,3.340568770708974,3.2782790222561466,3.39626652499128,3.3954917016677513,3.410806543162898,0.6489315266595682,-6.887519227748912,8.18538228106805,0.6489315266595682,-6.887519227748912,8.18538228106805,1.0139132290358113,-6.556402859931204,8.584229318002826,0.9631571433835184,-6.60244947162821,8.528763758395247,1087.5612137378114,1005.2293921968529,1169.89303527877,0.0372957858517821,0.08189876913452143,-0.9657434492484694
