,random_forest,engle_granger,ann,return_sp_500
2001-02-28,,0.4154244065973021,0.7340208048606092,-2.262550231574334
2001-03-31,,0.4160668902702685,0.733821210883074,-9.631777130550478
2001-04-30,,,0.9903662450753978,0.33590272734391746
2001-05-31,,,0.9893748095254808,6.54893523201272
2001-06-30,,0.41518400545204953,0.7260469501753118,-2.5237681097165066
2001-07-31,,,0.9798505992620931,-2.8047484314399185
2001-08-31,,,0.982110321134076,-2.1780587816719432
2001-09-30,,0.42493758425197936,0.7280805254001939,-12.057011493786263
2001-10-31,,0.4428024170081142,0.7175849827812989,3.012631014455902
2001-11-30,,0.4235840916317612,0.7617234800122722,4.813576817811427
2001-12-31,,0.4202185822712393,0.7630325049605724,1.340909298732118
2002-01-31,,0.42037911404653094,0.7627860554307488,-0.413104379813678
2002-02-28,,0.4194037492107425,0.7632471285474186,-3.5293370675208102
2002-03-31,,0.4232746499422363,0.7637948766695484,4.713309049691006
2002-04-30,,0.4163886610651759,0.7660230462338306,-3.695493158305485
2002-05-31,,0.4240322875246473,0.7713770601909723,-2.9830888753241247
2002-06-30,,0.4273848598205988,0.7709214202999292,-6.234372661309351
2002-07-31,,0.4335435482015007,0.7715979461533932,-11.530219013361975
2002-08-31,,0.44753178319204207,0.7685354085112067,0.9867160787155882
2002-09-30,,0.4490299773524632,0.7749312991506422,-5.027008178568604
2002-10-31,,0.44092902625144614,0.7689956972905578,-1.53041699542662
2002-11-30,,0.44028333378324325,0.77074696672692,6.269904673916393
2002-12-31,,0.436887796351896,0.7640256690261682,-1.1884436576053758
2003-01-31,,0.43883801735132366,0.7661083734492163,-0.37214112986045933
2003-02-28,,0.4385844857992768,0.7678100316264015,-6.790191345952046
2003-03-31,,0.44319123581752917,0.7665230499046252,1.1403851179016655
2003-04-30,,0.44222001041775566,0.7653125544951439,4.9991406703177255
2003-05-31,,0.4446121145364254,0.7649393340337266,5.031757049843311
2003-06-30,,0.44439858988485165,0.7596366273961367,5.410995722617873
2003-07-31,,0.45174864730301617,0.7599693685278158,0.45846162683655933
2003-08-31,,0.4497989187458587,0.7606348163332355,-0.3037231090607939
2003-09-30,,0.44629317486724596,0.7639998688125461,2.977865297839788
2003-10-31,,0.17449481596745137,0.8454806361962519,1.8745356169324268
2003-11-30,,0.1754140116159024,0.8445852056631834,1.0696108447547203
2003-12-31,,0.17675332457110976,0.8436794194913357,2.8858536676307445
2004-01-31,,0.17782497965138733,0.8445381832983182,4.689178004819983
2004-02-29,,0.17986421928890414,0.8444859189662295,0.9526057589642534
2004-03-31,,0.1790531632227077,0.8442285853781442,-1.709533813402242
2004-04-30,,0.1785443264653603,0.8440182009085498,0.8310714370073136
2004-05-31,,0.17872914935630965,0.8444552495853848,-2.7352407740604434
2004-06-30,,0.1803772786197639,0.844576227824539,2.682286825106228
2004-07-31,,0.17524149977544504,0.8457157819119802,-2.4042862566822976
2004-08-31,,0.17509713441947714,0.845458785512803,-1.5409524018366483
2004-09-30,,0.17505354804641093,0.8449147630109497,2.603246797633041
2004-10-31,,0.1760476580243921,0.846056477874554,-0.040270799293207205
2004-11-30,,0.17567260004232005,0.8463207700952668,4.5262849255496285
2004-12-31,,0.17604750944573336,0.8464152257240837,2.556565141095568
2005-01-31,,0.17606320830445593,0.8468687648168217,-1.4954366275299336
2005-02-28,,0.17635027121981373,0.847631995308379,1.5304535527348229
2005-03-31,,0.17664204784401807,0.846854049061087,-0.3950676042554946
2005-04-30,,0.17642025725662738,0.8468086543789436,-2.58308029739851
2005-05-31,,0.17706058900438187,0.8479329925624953,1.1824051087475418
2005-06-30,,0.1769716396989338,0.8488853720838959,2.013905318857301
2005-07-31,,0.1779829758510827,0.8495117116868166,1.6490439635277632
2005-08-31,,0.17816932546171996,0.8489766552803493,0.16595071885090462
2005-09-30,,0.1789896113062949,0.8492264164957113,0.13468345307261487
2005-10-31,,0.17842633699873148,0.8496991175541797,-2.809257149701949
2005-11-30,,0.1775812730799634,0.8487317269681675,3.7389148404338712
2005-12-31,,0.17527334893251878,0.8468130674624851,1.9765070655174632
2006-01-31,,0.17616438258062983,0.8466077422684417,1.3114167795042597
2006-02-28,,0.17613079067418433,0.8472813600928154,-0.16279382787409702
2006-03-31,,0.17581496888764495,0.8471941480298963,1.3297788924127474
2006-04-30,,0.17603443755099,0.8475746597773902,0.6494855086375928
2006-05-31,,0.17611963766151367,0.8474250652545565,-0.9382133337926923
2006-06-30,,0.17604790482118932,0.8477276734449442,-2.8973629189040118
2006-07-31,,0.1775077774143611,0.8465631785790728,0.5625837923097343
2006-08-31,,0.17731107411193642,0.8464523455552865,2.112829292352636
2006-09-30,,0.1781194114850228,0.8472827302818348,2.348767609243385
2006-10-31,,0.17894170246186766,0.8477698806264689,3.40487625980872
2006-11-30,0.6523031810355928,,0.3476968189644072,1.8357940284173146
2006-12-31,0.6530017229285566,,0.3469982770714433,1.9807710547122603
2007-01-31,0.6516554467760393,,0.3483445532239608,0.5449604767564509
2007-02-28,0.6528448652814429,,0.3471551347185571,1.4388737452099676
2007-03-31,0.6516553765451175,,0.3483446234548825,-2.6546662782473085
2007-04-30,0.6528931528393778,,0.3471068471606222,3.9502242762899265
2007-05-31,0.6552873527434182,,0.3447126472565818,3.1937849209096036
2007-06-30,0.6552988022574884,,0.34470119774251173,0.20163096477512354
2007-07-31,0.6538895958748036,,0.3461104041251964,0.4296688543782068
2007-08-31,0.6549496868280402,,0.3450503131719598,-4.443263293346522
2007-09-30,0.6544095138503226,,0.34559048614967747,2.879856441729167
