,observed_sp_500_returns,forecast_randomwalk,forecast_engle_granger,lower_bound_engle_granger,upper_bound_engle_granger,adf_output,rsquared_step2,coefficients_of_eps_t_1__step2
2001-02-01,0.06508085735710267,-5.189119321046832,1.2069239390175355,-7.436898032415812,9.850745910450883,0.15742551713762737,0.4583601138329091,-0.07567646097387047
2001-02-02,-1.6730835499588537,2.3816170828677286,1.1323901068413118,-7.511158125938865,9.775938339621488,0.15746102617843705,0.4583565517709063,-0.07577153930451963
2001-02-05,5.058398584468371,-4.578235535634367,2.6372513648830793,-6.00616683511166,11.280669564877819,0.15696900439167238,0.4583393134989264,-0.07593423833768516
2001-02-06,-0.10898281087534656,2.209253171848625,-2.5533299082883736,-11.19657435219075,6.089914535614001,0.15818139593883218,0.4583608801329604,-0.07577004005060362
2001-02-07,-10.95148200573961,1.9511886912689915,-2.3721983677586547,-11.015271542198313,6.270874806681004,0.15904197233303208,0.4583445131167536,-0.07560479143720596
2001-02-08,7.455684304797305,-8.79867668197079,8.246893397421335,-0.39748993641299357,16.891276731255665,0.15655014950142804,0.4583222125855857,-0.07625706818608434
2001-02-09,5.30673367150607,10.46576163665345,0.5053437437209194,-8.138751139196845,9.149438626638684,0.1565478965747109,0.45840261181974773,-0.07632742545407188
2001-02-12,-6.169558741541081,7.202819231285667,-4.370024613700956,-13.014322123782051,4.27427289638014,0.1581830261959014,0.45838080783903645,-0.07595729205886476
2001-02-13,1.6069156638753412,-12.896822278884724,1.5999928932811955,-7.0440734014393644,10.244059188001755,0.15782935861220498,0.4584292128524966,-0.07610865415880064
2001-02-14,-4.680078518345088,-2.4520482009982594,0.199122426807385,-8.444641782711962,8.842886636326732,0.15785713725463585,0.45843291580827583,-0.07612162732167019
2001-02-15,0.051169471766243646,-0.4017965087064228,4.735084446521602,-3.908898925567634,13.379067818610839,0.15671735791200925,0.45840067245247684,-0.07651988912577437
2001-02-16,6.316806847599032,-9.80664056902086,4.577182259626891,-4.066979322541771,13.221343841795553,0.15584081922967885,0.4583404969647662,-0.07689758113895845
2001-02-20,-2.713243528641751,7.789655322707657,-1.9843578522115939,-10.628283659246389,6.6595679548232,0.156673654097794,0.4583910258184023,-0.07676345231039666
2001-02-21,4.173530386727542,-3.2763820338816885,0.5122129033636575,-8.131422540489792,9.155848347217107,0.15677176214872285,0.45840079878821993,-0.07683561211768324
2001-02-22,1.621838219077354,8.449776917292695,-3.5855669979877884,-12.22919381925752,5.058059823281942,0.15800337885891036,0.4583895838291422,-0.07651689191246878
2001-02-23,-7.301755973591195,3.718774561547372,-4.427169118340517,-13.071087300938864,4.216749064257829,0.15969739415464052,0.4583189972944144,-0.07605339552794253
2001-02-26,-0.09956306455434216,-10.643829853539643,2.948889524225855,-5.69490748474807,11.59268653319978,0.15889245165299587,0.4583764334269709,-0.076333201830871
2001-02-27,4.193070719488556,-3.6698766500388156,2.434966070716892,-6.208732312802652,11.078664454236435,0.1582404252264521,0.4583509915713113,-0.07663585008036203
2001-02-28,-2.401693231622737,1.5618163545582147,-2.0633659885471483,-10.706830059536422,6.580098082442125,0.1589642777290396,0.4583683095141511,-0.07647366344789382
2001-03-01,-4.3935435339156115,0.5177807466302085,1.1463516700469092,-7.49681304519901,9.78951638529283,0.1588189407486682,0.4583768226945686,-0.07651760196576554
2001-03-02,2.9908951121153216,-15.980559654082333,5.022018760103547,-3.621514657953062,13.665552178160157,0.15725341691125638,0.4583219442241224,-0.07703099785574105
2001-03-05,-4.764383014351203,3.7829660984222633,1.4323649910164522,-7.21095670628149,10.075686688314395,0.15687474271747626,0.4583236969708555,-0.07720103488460292
2001-03-06,-2.2524842933245637,-9.208571032234552,4.948401190864377,-3.695457228678565,13.59225961040732,0.15531887451836662,0.458252845500032,-0.07764669904480517
2001-03-07,2.551907380913576,-1.2920637887289663,6.460065781278753,-2.1846213131344845,15.10475287569199,0.15344773781393228,0.45811890675504696,-0.0779705712269004
2001-03-08,0.9585837165529298,4.285622905843331,3.4280547665619068,-5.2166633972298015,12.072772930353615,0.15250228150162198,0.4580866444380146,-0.0781229141462626
2001-03-09,4.002201642899106,-7.40694055500485,2.003269302356702,-6.64127998665685,10.647818591370253,0.1521147075467516,0.45807127088785726,-0.07821711915907767
2001-03-12,-8.495166760053152,2.860529656523473,-2.1564808497431125,-10.800815502453986,6.48785380296776,0.15268975965766318,0.45808383456170976,-0.07817404418029335
2001-03-13,12.551690809059135,-7.712230859628721,5.566677787141865,-3.078232179304649,14.211587753588379,0.15120335209059238,0.4580821377267259,-0.07849990237044062
2001-03-14,-2.4352490163050966,12.994395372462563,-6.9248635140421,-15.57053629494853,1.7208092668643307,0.15306502991621224,0.45818200124222297,-0.0782678919518989
2001-03-15,-5.865505336786558,-3.0503420494237607,-4.4218474474955896,-13.067658224656924,4.223963329665744,0.15419277277863896,0.4581359519748279,-0.07812493925949945
2001-03-16,-6.58251676750119,-12.010867675183317,1.4888684754737787,-7.156686089276312,10.134423040223869,0.1535190594073041,0.4581820034231845,-0.07818849623996843
2001-03-19,0.3770700680576944,-11.961613662237143,6.652704839651195,-1.9939717196277797,15.29938139893017,0.15122598724116793,0.4580686398805678,-0.0786991623407083
2001-03-20,5.17729116249539,-6.559294558810442,5.372677567772387,-3.274557741294039,14.019912876838813,0.14960488385536158,0.45796096141916276,-0.07914233617195797
2001-03-21,-4.218719841093943,7.966069221734964,-0.13761748875917412,-8.784551966086209,8.50931698856786,0.14957123475300355,0.4580002686922099,-0.07916517489535098
